restaurant_name,food_items,price,description
Sri Udupi Food Hub,Masala Dosa,₹85,Feeling hungry & can't decide what to eat? Order Masala Dosa now to ... read more
Sri Udupi Food Hub,2 Masala Dosa with Idli [4 Pieces],₹220,2 Masala Dosa with Idli [4 Pieces]
Sri Udupi Food Hub,Set Dosa,₹85,
Sri Udupi Food Hub,Mysore Masala Dosa,₹110,There is no such thing as boring Masala Dosa! Mysore Masala Dosa loaded ... read more
Sri Udupi Food Hub,Idili [2 Pieces] and Vada [1 Piece],₹90,
Sri Udupi Food Hub,Vada [1 Piece],₹46,
Sri Udupi Food Hub,Mini Tiffin Combo,₹140,dli [2 Pieces]+1 Vada+1 Mini Masala+1 Coffee/1 Tea
Sri Udupi Food Hub,Mangalore Bajji,₹50,
Sri Udupi Food Hub,Idli [2 Pieces],₹50,
Sri Udupi Food Hub,Mini Masala Dosa Combo,₹190,2 Mini Masala Dosa+1 Khara Bath+1 Vada+1 Gulab Jamun
Sri Udupi Food Hub,Poori Sagu Combo,₹185,"Poori Sagu [3 Pieces]+1 Rava Idli+1 Mini Masala Dosa+1
Coffee/1 Tea"
Sri Udupi Food Hub,Poori Sagu,₹100,
Sri Udupi Food Hub,Rice Bath,₹70,
Sri Udupi Food Hub,Rava Idli,₹62,
Sri Udupi Food Hub,Cheese Masala Dosa,₹95,
Sri Udupi Food Hub,Onion Dosa,₹95,
Sri Udupi Food Hub,Neer Dosa,₹90,
Sri Udupi Food Hub,Tea,₹25,
Sri Udupi Food Hub,Mysore Masala Dosa with Idli Vada and Coffee,₹180,Mysore Masala Dosa with Idli Vada and Coffee
Sri Udupi Food Hub,1 Idli with Vada and Set Dosa,₹110,1 Idli with Vada and Set Dosa
Sri Udupi Food Hub,Butter Masala Dosa,₹90,
Sri Udupi Food Hub,Paper Masala Dosa,₹110,
Sri Udupi Food Hub,Butter Plain Dosa with Idli and Vada,₹169,Butter Plain Dosa with Idli and Vada
Sri Udupi Food Hub,Rava Dosa,₹100,
Sri Udupi Food Hub,Dosa Platter,₹399,1 Rava Dosa+1 Masala Dosa+1 Onion Dosa+1 Paneer Dosa
Sri Udupi Food Hub,Vada [1 Piece],₹46,
Sri Udupi Food Hub,Idli [2 Pieces],₹50,
Sri Udupi Food Hub,Idili [2 Pieces] and Vada [1 Piece],₹90,
Sri Udupi Food Hub,Rava Idli,₹62,
Sri Udupi Food Hub,Idli Vada [1 Piece],₹70,
Sri Udupi Food Hub,Mangalore Bajji,₹50,
Sri Udupi Food Hub,Curd Vada,₹60,
Sri Udupi Food Hub,Buns [2 Pieces],₹80,
Sri Udupi Food Hub,Thatte Idli [1 Piece],₹40,
Sri Udupi Food Hub,Poori Sagu,₹100,
Sri Udupi Food Hub,Rice Bath,₹70,
Sri Udupi Food Hub,Pongal,₹70,
Sri Udupi Food Hub,Mini Tiffin Combo,₹140,dli [2 Pieces]+1 Vada+1 Mini Masala+1 Coffee/1 Tea
Sri Udupi Food Hub,Poori Sagu Combo,₹185,"Poori Sagu [3 Pieces]+1 Rava Idli+1 Mini Masala Dosa+1
Coffee/1 Tea"
Sri Udupi Food Hub,Poori Sagu with Khara Bath,₹120,
Sri Udupi Food Hub,Mini Masala Dosa Combo,₹190,2 Mini Masala Dosa+1 Khara Bath+1 Vada+1 Gulab Jamun
Sri Udupi Food Hub,Jumbo Breakfast Combo,₹399,"Idli [6 Pieces]+Vada [3 Pieces]+3 Khara Bath+3 Kesari Bath+2
Rice Bath"
Sri Udupi Food Hub,2 Masala Dosa with Idli [4 Pieces],₹220,2 Masala Dosa with Idli [4 Pieces]
Sri Udupi Food Hub,Butter Masala Dosa with Rava Idli,₹149,Butter Masala Dosa with Rava Idli
Sri Udupi Food Hub,Butter Plain Dosa with Idli and Vada,₹169,Butter Plain Dosa with Idli and Vada
Sri Udupi Food Hub,1 Idli with Vada and Set Dosa,₹110,1 Idli with Vada and Set Dosa
Sri Udupi Food Hub,Mysore Masala Dosa with Idli Vada and Tea,₹180,Mysore Masala Dosa with Idli Vada and Tea
Sri Udupi Food Hub,Mysore Masala Dosa with Idli Vada and Coffee,₹180,Mysore Masala Dosa with Idli Vada and Coffee
Sri Udupi Food Hub,Dosa Platter,₹399,1 Rava Dosa+1 Masala Dosa+1 Onion Dosa+1 Paneer Dosa
Sri Udupi Food Hub,Paper Masala Dosa,₹110,
Sri Udupi Food Hub,Rava Onion Masala Dosa,₹120,
Sri Udupi Food Hub,Mysore Masala Dosa,₹110,There is no such thing as boring Masala Dosa! Mysore Masala Dosa loaded ... read more
Sri Udupi Food Hub,Masala Dosa,₹85,Feeling hungry & can't decide what to eat? Order Masala Dosa now to ... read more
Sri Udupi Food Hub,Set Dosa,₹85,
Sri Udupi Food Hub,Cheese Masala Dosa,₹95,
Sri Udupi Food Hub,Onion Dosa,₹95,
Sri Udupi Food Hub,Butter Masala Dosa,₹90,
Sri Udupi Food Hub,Rava Dosa,₹100,
Sri Udupi Food Hub,Plain Dosa,₹70,
Sri Udupi Food Hub,Open Butter Masala Dosa,₹110,
