0,1,2,3
Kolkata Kathi Rolls,Chicken Dum Biryani,₹145,
Kolkata Kathi Rolls,Chicken Egg Roll,₹105,
Kolkata Kathi Rolls,Chicken Kabab,₹125,
Kolkata Kathi Rolls,Chicken Fried Rice,₹125,
Kolkata Kathi Rolls,Double Egg Double Chicken Roll,₹135,
Kolkata Kathi Rolls,Chilli Chicken,₹125,
Kolkata Kathi Rolls,Chicken Lollipop,₹125,
Kolkata Kathi Rolls,Plain Paratha,₹30,
Kolkata Kathi Rolls,Chicken Kassa,₹135,
Kolkata Kathi Rolls,Chicken Schezwan Fried Rice,₹135,
Kolkata Kathi Rolls,Chicken Roll,₹95,
Kolkata Kathi Rolls,Pepper Chicken Dry,₹125,
Kolkata Kathi Rolls,Chicken Jumbo Roll,₹155,
Kolkata Kathi Rolls,Paneer Roll,₹95,"Paneer, onion and chilli."
Kolkata Kathi Rolls,Kolkata Biryani,₹145,
Kolkata Kathi Rolls,Double Egg Roll,₹95,
Kolkata Kathi Rolls,Lemon Chicken,₹125,
Kolkata Kathi Rolls,Chicken Hyderabadi,₹125,
Kolkata Kathi Rolls,Egg Biryani,₹115,
Kolkata Kathi Rolls,Gobi Roll,₹85,
Kolkata Kathi Rolls,Chicken Curry with 2 Paratha,₹145,Chicken Curry with 2 Paratha
Kolkata Kathi Rolls,Chicken Noodles,₹125,
Kolkata Kathi Rolls,Egg Roll,₹85,
Kolkata Kathi Rolls,Double Chicken Roll,₹115,
Kolkata Kathi Rolls,KKR Special Chicken Fry,₹145,[Chef's Special]
Kolkata Kathi Rolls,Biryani Rice,₹95,
Kolkata Kathi Rolls,Veg Aloo Roll,₹80,
Kolkata Kathi Rolls,Chicken Do Pyaza,₹125,
Kolkata Kathi Rolls,Paneer Butter Masala with 2 Paratha,₹145,Paneer Butter Masala with 2 Paratha
Kolkata Kathi Rolls,Double Paneer Roll,₹110,
Kolkata Kathi Rolls,Egg Chilli Dry,₹115,
Kolkata Kathi Rolls,Mixed Veg Roll,₹105,
Kolkata Kathi Rolls,Veg Egg Roll,₹95,
Kolkata Kathi Rolls,Double Paneer Roll,₹110,
Kolkata Kathi Rolls,Gobi Roll,₹85,
Kolkata Kathi Rolls,Veg Aloo Roll,₹80,
Kolkata Kathi Rolls,Veg Paneer Roll,₹95,
Kolkata Kathi Rolls,Aloo Gobi Roll,₹95,
Kolkata Kathi Rolls,Aloo Paneer Roll,₹95,
Kolkata Kathi Rolls,Mixed Veg Roll,₹105,
Kolkata Kathi Rolls,Veg Roll,₹85,Potatoes and carrots.
Kolkata Kathi Rolls,Paneer Roll,₹95,"Paneer, onion and chilli."
Kolkata Kathi Rolls,Veg Egg Roll,₹95,
Kolkata Kathi Rolls,Aloo Egg Roll,₹95,
Kolkata Kathi Rolls,Paneer Egg Roll,₹100,
Kolkata Kathi Rolls,Gobi Egg Roll,₹95,
Kolkata Kathi Rolls,Egg Roll,₹85,
Kolkata Kathi Rolls,Double Egg Roll,₹95,
Kolkata Kathi Rolls,Double Egg Double Paneer Roll,₹130,
Kolkata Kathi Rolls,Chicken Roll,₹95,
Kolkata Kathi Rolls,Chicken Egg Roll,₹105,
Kolkata Kathi Rolls,Double Chicken Roll,₹115,
Kolkata Kathi Rolls,Double Chicken Egg Roll,₹125,
Kolkata Kathi Rolls,Double Egg Double Chicken Roll,₹135,
Kolkata Kathi Rolls,Double Egg Chicken Roll,₹125,
Kolkata Kathi Rolls,Chicken Jumbo Roll,₹155,
Kolkata Kathi Rolls,Paneer Butter Masala with 2 Paratha,₹145,Paneer Butter Masala with 2 Paratha
Kolkata Kathi Rolls,Egg Curry with 2 Paratha,₹125,Egg Curry with 2 Paratha
Kolkata Kathi Rolls,Chicken Curry with 2 Paratha,₹145,Chicken Curry with 2 Paratha
Kolkata Kathi Rolls,Dal Fry with 2 Paratha and Chicken Kabab [1 Piece],₹145,Dal Fry with 2 Paratha and Chicken Kabab [1 Piece]
Kolkata Kathi Rolls,Jeera Rice with Dal and Chicken Kabab [1 Piece],₹145,Jeera Rice with Dal and Chicken Kabab [1 Piece]
Kolkata Kathi Rolls,Ghee Rice with Dal and Chicken Kabab [1 Piece],₹145,Ghee Rice with Dal and Chicken Kabab [1 Piece]
Kolkata Kathi Rolls,Egg Chilli Dry,₹115,
Kolkata Kathi Rolls,Egg Omelette,₹75,
Kolkata Kathi Rolls,Egg Bhurji,₹75,
Kolkata Kathi Rolls,Chicken Lollipop,₹125,
Kolkata Kathi Rolls,Chicken Kabab,₹125,
Kolkata Kathi Rolls,Schezwan Chicken,₹125,
Kolkata Kathi Rolls,Chilli Chicken,₹125,
Kolkata Kathi Rolls,Chicken 65,₹125,
Kolkata Kathi Rolls,Pepper Chicken Dry,₹125,
Kolkata Kathi Rolls,Garlic Chicken,₹125,
Kolkata Kathi Rolls,Lemon Chicken,₹125,
Kolkata Kathi Rolls,Chicken Manchurian,₹125,
Kolkata Kathi Rolls,KKR Special Chicken Fry,₹145,[Chef's Special]
Kolkata Kathi Rolls,Chicken Golden Lollipop,₹145,
Kolkata Kathi Rolls,Fish Fry [2 Pieces],₹180,
Kolkata Kathi Rolls,Gobi Manchurian,₹115,
Kolkata Kathi Rolls,Gobi 65,₹135,
Kolkata Kathi Rolls,Gobi Chilli,₹125,
Kolkata Kathi Rolls,Paneer Chilli,₹125,
Kolkata Kathi Rolls,Paneer Manchurian Dry,₹125,
Kolkata Kathi Rolls,Paneer 65,₹125,
Kolkata Kathi Rolls,Dal Fry,₹85,
Kolkata Kathi Rolls,Dal Tadka,₹95,
Kolkata Kathi Rolls,Veg Kolhapuri,₹95,
Kolkata Kathi Rolls,Mixed Veg Curry,₹105,
Kolkata Kathi Rolls,Veg Kadhai,₹95,
Kolkata Kathi Rolls,Kadhai Paneer,₹125,
Kolkata Kathi Rolls,Paneer Butter Masala,₹125,
Kolkata Kathi Rolls,Egg Curry,₹105,
Kolkata Kathi Rolls,Egg Masala,₹105,
Kolkata Kathi Rolls,Egg Hyderabadi,₹105,
Kolkata Kathi Rolls,Egg Kadhai,₹105,
Kolkata Kathi Rolls,Egg Kolhapuri,₹105,
Kolkata Kathi Rolls,Egg Bhurji,₹75,
Kolkata Kathi Rolls,Chicken Curry,₹125,
Kolkata Kathi Rolls,Chicken Masala,₹125,
Kolkata Kathi Rolls,Butter Chicken,₹125,
Kolkata Kathi Rolls,Kadhai Chicken,₹125,
Kolkata Kathi Rolls,Kali Mirch Chicken,₹125,
Kolkata Kathi Rolls,Chicken Hyderabadi,₹125,
Kolkata Kathi Rolls,Chicken Do Pyaza,₹125,
Kolkata Kathi Rolls,Chicken Kolhapuri,₹125,
Kolkata Kathi Rolls,Chicken Shahjahani,₹135,
Kolkata Kathi Rolls,Chicken Mughlai,₹135,
Kolkata Kathi Rolls,Chicken Nawabi,₹135,
Kolkata Kathi Rolls,Chicken Kassa,₹135,
Kolkata Kathi Rolls,Plain Wheat Paratha,₹30,
Kolkata Kathi Rolls,Plain Paratha,₹30,
Kolkata Kathi Rolls,Ceylon Paratha,₹35,
Kolkata Kathi Rolls,Ghee Rice,₹85,
Kolkata Kathi Rolls,Jeera Rice,₹85,
Kolkata Kathi Rolls,Biryani Rice,₹95,
Kolkata Kathi Rolls,Veg Biryani,₹105,
Kolkata Kathi Rolls,Kolkata Biryani,₹145,
Kolkata Kathi Rolls,Egg Biryani,₹115,
Kolkata Kathi Rolls,Chicken Dum Biryani,₹145,
Kolkata Kathi Rolls,Veg Fried Rice,₹95,
Kolkata Kathi Rolls,Paneer Fried Rice,₹125,
Kolkata Kathi Rolls,Veg Schezwan Fried Rice,₹115,
Kolkata Kathi Rolls,KKR Special Fried Rice,₹145,[Chef's Special]
Kolkata Kathi Rolls,Egg Fried Rice,₹105,
Kolkata Kathi Rolls,Egg Schezwan Fried Rice,₹125,
Kolkata Kathi Rolls,Chicken Fried Rice,₹125,
Kolkata Kathi Rolls,Chicken Schezwan Fried Rice,₹135,
Kolkata Kathi Rolls,KKR Special Noodles,₹145,[Chef's Special]
Kolkata Kathi Rolls,Veg Noodles,₹95,
Kolkata Kathi Rolls,Egg Noodles,₹105,
Kolkata Kathi Rolls,Schezwan Egg Noodles,₹125,
Kolkata Kathi Rolls,Chicken Noodles,₹125,
Kolkata Kathi Rolls,Schezwan Chicken Noodles,₹125,
Kolkata Kathi Rolls,Hyderabadi Mutton Biryani [2 Pieces],₹290,
Starbucks Coffee,Bhuna Chicken Puff,₹185,A spiced & flavourful bhuna chicken filling encased in a puff pastry with ... read more
Starbucks Coffee,Three Dip Chips,₹250,"Crispy Tortilla Chips loaded with peri peri cheesy dip, spicy tomato salsa & ... read more"
Starbucks Coffee,Tandoori Chicken Panini Sandwich,₹395,"Freshly Assembled Sandwich
Masala chicken tikka with tomato salsa & cheddar cheese sandwiched in a panini bread.
Serving size (g/ml) - 290g/901kcal
Allergen - Contains ... read more"
Starbucks Coffee,Hazelnut Triangle,₹195,"A Pastry with layers of hazelnut meringue and buttercream.
Serving size (g/ml) - 50g/302kcal.
Allergen ... read more"
Starbucks Coffee,Pistachio Éclair,₹310,A classic French style choux éclair filled with pistachio ganache and topped with ... read more
Starbucks Coffee,Filter Coffee,₹215,"""Introducing the new small size from Starbucks - Picco Filter Coffee
Your favourite South ... read more"
Starbucks Coffee,Herbed Chicken Focaccia Sandwich,₹395,"Freshly Assembled Sandwich
A western styled chicken salad sandwiched in a focaccia bread.
Serving size ... read more"
Starbucks Coffee,Three Cheese Pull Apart,₹260,A soft and buttery pull-apart bun loaded with cheese and herbs. The perfect ... read more
Starbucks Coffee,Spiced Paneer Sandwich in Focaccia,₹380,"Freshly Assembled Sandwich
An Indian masala paneer with tomato salsa & cheddar cheese sandwiched ... read more"
Starbucks Coffee,Chocolate Truffle Pastry,₹360,An absolute classic! A moist chocolate cake layered with whipped ganache and dark ... read more
Starbucks Coffee,Strawberry Milkshake,₹390,A Delicious milkshake for those with a sweet tooth and love our favourite ... read more
Starbucks Coffee,Masala Potato Puff,₹160,A savoury snack made with masala potato filling in a puff pastry. The ... read more
Starbucks Coffee,Vanilla Sweet Cream Cold Brew,₹400,Cold brew with Vanilla Sweet Cream is made with Starbucks cold brew over ... read more
Starbucks Coffee,Double Chocolate Chip Frappuccino,₹400,"Rich mocha-flavoured sauce meets up with chocolaty chips, milk and ice. Top it ... read more"
Starbucks Coffee,Cappuccino,₹185,"""Introducing the new small size from Starbucks - Picco Cappuccino
Dark, rich espresso lies ... read more"
Starbucks Coffee,Signature Hot Chocolate,₹195,"""Introducing the new small size from Starbucks - Picco Signature Hot Chocolate
Four cocoas ... read more"
Starbucks Coffee,Chocolate Milkshake,₹390,Our Starbucks signature chocolate perfected for you as a smooth and delightful milkshake. ... read more
Starbucks Coffee,Caramel Macchiato,₹365,"""Freshly steamed milk with vanilla-flavored syrup is marked with espresso and topped with ... read more"
Starbucks Coffee,Caramel Java Chip Frappuccino,₹440,"Coffee with rich mocha flavoured sauce blended with milk chocolaty chips, caramel syrup ... read more"
Starbucks Coffee,Java Chip Frappuccino,₹390,We blend mocha sauce and Frappuccino chips with Frappuccino roast coffee and milk ... read more
Starbucks Coffee,Strawberries & Crème Frappuccino,₹385,Strawberries and milk are blended with ice and topped with a swirl of ... read more
Starbucks Coffee,Coffee Frappuccino,₹345,Coffee meets milk and ice in a blender and together they create one ... read more
Starbucks Coffee,White Chocolate Mocha,₹335,"""Our signature espresso meets white chocolate sauce and steamed milk in this white ... read more"
Starbucks Coffee,Tall Cold Coffee with Tandoori Chicken Panini Sandwich,₹604,"""Meal for One! SAVE Rs. 151! Enjoy Classic Cold coffee drink for summers ... read more"
Starbucks Coffee,Chocolate Brownie Cupcake,₹275,"""A gooey and fudgy walnut brownie loaded with chocolate. 2pcs per portion
Serving size ... read more"
Starbucks Coffee,White mocha caramel Cold Brew,₹420,Our slow steeped Cold brew shaken with milk and white chocolate to strike ... read more
Starbucks Coffee,Tandoori Chicken Panini Sandwich,₹395,"Freshly Assembled Sandwich
Masala chicken tikka with tomato salsa & cheddar cheese sandwiched in a panini bread.
Serving size (g/ml) - 290g/901kcal
Allergen - Contains ... read more"
Starbucks Coffee,Strawberry Milkshake,₹390,A Delicious milkshake for those with a sweet tooth and love our favourite ... read more
Starbucks Coffee,Spiced Paneer Sandwich in Focaccia,₹380,"Freshly Assembled Sandwich
An Indian masala paneer with tomato salsa & cheddar cheese sandwiched ... read more"
Starbucks Coffee,Latte,₹190,"Our dark, rich espresso balanced with steamed milk and a light layer of ... read more"
Starbucks Coffee,Red Velvet & Orange Cake,₹380,Red velvety sponge cake with cream cheese and white chocolate. Hint of orange ... read more
Starbucks Coffee,Caramel Frappuccino,₹370,"A blend of coffee, sweet caramel syrup, milk and ice topped with whipped ... read more"
Starbucks Coffee,Vanilla Caffe Latte,₹350,"""Our dark, rich espresso balanced with vanilla flavored syrup, steamed milk and a ... read more"
Starbucks Coffee,Iced Shaken Hibiscus & Passion Lemonade,₹340,"Our blend of hibiscus, lemongrass and apple is slightly sweetened and hand shaken ... read more"
Starbucks Coffee,Iced Caffè Latte,₹325,"Our dark, rich espresso balanced with milk. Our Iced Latte turns your favourite ... read more"
Starbucks Coffee,Lemon Loaf Cake,₹310,"English tea cake with rich taste of butter and citrusy lemon notes.
Serving size ... read more"
Starbucks Coffee,Double Chocolate Chip Cookie,₹280,A soft & chewy chocolate cookie topped with chocolate chips for the perfect ... read more
Starbucks Coffee,Caffe Americano,₹275,"Rich in flavour, full-bodied espresso with hot water in true European style. Short: ... read more"
Starbucks Coffee,Butter Croissant,₹275,"A flaky and buttery French style pastry served with butter.
Serving size (g/ml) - ... read more"
Starbucks Coffee,Chilli Paneer in Herbed Bun,₹270,"A tangy chilli paneer filling topped with sliced cheese in a herbed bun.
Serving ... read more"
Starbucks Coffee,Malabari Egg Croissant,₹255,A South Indian Malabari inspired spiced egg filling with hints of coconut encased ... read more
Starbucks Coffee,Filter Coffee,₹215,"""Introducing the new small size from Starbucks - Picco Filter Coffee
Your favourite South ... read more"
Starbucks Coffee,Elaichi Chai,₹215,"""Introducing the new small size from Starbucks - Picco Cardamom Chai
Our traditional chai ... read more"
Starbucks Coffee,Java Chip with chocolate sauce and Chips,₹145,A delicious scoop of Java Chip ice cream served with Chocolatey sauce drizzle ... read more
